id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20250227-84974742-85718843,Friendly-Matches,20250227TUTITA,2,Bo3,27/02/2025 19:00:00,0,84974742,85718843,Planned,84375106
20250227-89533460-92870188,Friendly-Matches,20250227TUTITA,3,Bo3,27/02/2025 19:00:00,0,89533460,92870188,Planned,84375106
20250227-84395427-89523610,Friendly-Matches,20250227TUTITA,4,Bo3,27/02/2025 19:00:00,0,84395427,89523610,Planned,84375106
20250227-95028431-93267653,Friendly-Matches,20250227TUTITA,5,Bo3,27/02/2025 19:00:00,0,95028431,93267653,Planned,84375106
20250226-91135828-83925004,Friendly-Matches,20250226ARGPRT,1,Bo3,26/02/2025 18:30:00,0,91135828,83925004,Planned,84375106
20250226-92818238-85447228,Friendly-Matches,20250226ARGPRT,2,Bo3,26/02/2025 18:30:00,0,92818238,85447228,Planned,84375106
20250226-89126731-94346145,Friendly-Matches,20250226ARGPRT,3,Bo3,26/02/2025 18:30:00,0,89126731,94346145,Planned,84375106
20250226-85760461-17108593,Friendly-Matches,20250226ARGPRT,4,Bo3,26/02/2025 18:30:00,0,85760461,17108593,Planned,84375106
20250226-94367589-84757617,Friendly-Matches,20250226ARGPRT,5,Bo3,26/02/2025 18:30:00,0,94367589,84757617,Planned,84375106
20250226-88036835-84799895,Friendly-Matches,20250226ARGPRT,6,Bo3,26/02/2025 18:30:00,0,88036835,84799895,Planned,84375106
20250226-84452111-84039149,Friendly-Matches,20250226ARGPRT,7,Bo3,26/02/2025 18:30:00,0,84452111,84039149,Planned,84375106
20250323-84142963-88450409,Friendly-Matches,20250323BELHKG,1,Bo3,23/03/2025 15:00:00,0,84142963,88450409,Planned,84375106
20250323-39136230-94809980,Friendly-Matches,20250323BELHKG,2,Bo3,23/03/2025 15:00:00,0,39136230,94809980,Planned,84375106
20250323-93464744-93308579,Friendly-Matches,20250323BELHKG,3,Bo3,23/03/2025 15:00:00,0,93464744,93308579,Planned,84375106
20250323-94586198-84445471,Friendly-Matches,20250323BELHKG,4,Bo3,23/03/2025 15:00:00,0,94586198,84445471,Planned,84375106
20250323-84635111-94640494,Friendly-Matches,20250323BELHKG,5,Bo3,23/03/2025 15:00:00,0,84635111,94640494,Planned,84375106
20250322-94743491-84486351,Friendly-Matches,20250322THAJPN,1,Bo3,22/03/2025 13:00:00,0,94743491,84486351,Planned,84375106
20250322-93308502-93010345,Friendly-Matches,20250322THAJPN,2,Bo3,22/03/2025 13:00:00,0,93308502,93010345,Planned,84375106
20250322-95199738-87125226,Friendly-Matches,20250322THAJPN,3,Bo3,22/03/2025 13:00:00,0,95199738,87125226,Planned,84375106
20250322-91626681-84051152,Friendly-Matches,20250322THAJPN,4,Bo3,22/03/2025 13:00:00,0,91626681,84051152,Planned,84375106
20250322-88031805-91776994,Friendly-Matches,20250322THAJPN,5,Bo3,22/03/2025 13:00:00,0,88031805,91776994,Planned,84375106
20250322-93433730-14710161,Friendly-Matches,20250322BRALVA,1,Bo3,22/03/2025 17:00:00,0,93433730,14710161,Planned,84375106
20250322-85037627-84651577,Friendly-Matches,20250322BRALVA,2,Bo3,22/03/2025 17:00:00,0,85037627,84651577,Planned,84375106
20250322-94382748-97277276,Friendly-Matches,20250322BRALVA,3,Bo3,22/03/2025 17:00:00,0,94382748,97277276,Planned,84375106
20250322-88706462-94385542,Friendly-Matches,20250322BRALVA,4,Bo3,22/03/2025 17:00:00,0,88706462,94385542,Planned,84375106
20250322-88628771-83908851,Friendly-Matches,20250322BRALVA,5,Bo3,22/03/2025 17:00:00,0,88628771,83908851,Planned,84375106
20250322-88647369-90355270,Friendly-Matches,20250322BRALVA,6,Bo3,22/03/2025 17:00:00,0,88647369,90355270,Planned,84375106
